ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-146,Face-to-face interview,Specific,Field survey
N-147,Face-to-face interview,Specific,Field survey
N-148,Face-to-face interview,Specific,Field survey
N-149,Face-to-face interview,Specific,Field survey
N-150,Face-to-face interview,Specific,Field survey
N-151,Face-to-face interview,Specific,Field survey
N-152,Face-to-face interview,Specific,Field survey
N-153,Face-to-face interview,Specific,Field survey
N-154,Face-to-face interview,Specific,Field survey
N-155,Face-to-face interview,Specific,Field survey
N-156,Face-to-face interview,Specific,Field survey
N-157,Face-to-face interview,Specific,Field survey
N-158,Face-to-face interview,Specific,Field survey
N-159,Face-to-face interview,Specific,Field survey
N-160,Face-to-face interview,Specific,Field survey
N-161,Face-to-face interview,Specific,Field survey
N-162,Face-to-face interview,Specific,Field survey
N-163,Face-to-face interview,Specific,Field survey
N-164,Face-to-face interview,Specific,Field survey
N-165,Face-to-face interview,Specific,Field survey
N-166,Face-to-face interview,Specific,Field survey
N-167,Face-to-face interview,Specific,Field survey
N-168,Face-to-face interview,Specific,Field survey
N-169,Face-to-face interview,Specific,Field survey
N-170,Face-to-face interview,Specific,Field survey
N-171,Face-to-face interview,Specific,Field survey
N-172,Face-to-face interview,Specific,Field survey
N-173,Face-to-face interview,Specific,Field survey
N-174,Face-to-face interview,Specific,Field survey
N-175,Face-to-face interview,Specific,Field survey
N-176,Face-to-face interview,Specific,Field survey
N-177,Face-to-face interview,Specific,Field survey
N-178,Face-to-face interview,Specific,Field survey
N-179,Face-to-face interview,Specific,Field survey
N-180,Face-to-face interview,Specific,Field survey
N-181,Face-to-face interview,Specific,Field survey
N-182,Face-to-face interview,Specific,Field survey
N-183,Face-to-face interview,Specific,Field survey
N-184,Face-to-face interview,Specific,Field survey
N-185,Face-to-face interview,Specific,Field survey
N-186,Face-to-face interview,Specific,Field survey
N-187,Face-to-face interview,Specific,Field survey
N-188,Face-to-face interview,Specific,Field survey
N-189,Face-to-face interview,Specific,Field survey
N-190,Face-to-face interview,Specific,Field survey
N-191,Face-to-face interview,Specific,Field survey
N-192,Face-to-face interview,Specific,Field survey
N-193,Face-to-face interview,Specific,Field survey
N-194,Face-to-face interview,Specific,Field survey
N-195,Face-to-face interview,Specific,Field survey
N-196,Face-to-face interview,Specific,Field survey
N-197,Face-to-face interview,Specific,Field survey
N-198,Face-to-face interview,Specific,Field survey
N-199,Face-to-face interview,Specific,Field survey
N-200,Face-to-face interview,Specific,Field survey
N-201,Face-to-face interview,Specific,Field survey
N-202,Face-to-face interview,Specific,Field survey
N-203,Face-to-face interview,Specific,Field survey
N-204,Face-to-face interview,Specific,Field survey
N-205,Face-to-face interview,Specific,Field survey
N-206,Face-to-face interview,Specific,Field survey
N-207,Face-to-face interview,Specific,Field survey
N-208,Face-to-face interview,Specific,Field survey
N-209,Face-to-face interview,Specific,Field survey
N-210,Face-to-face interview,Specific,Field survey
N-211,Face-to-face interview,Specific,Field survey
N-212,Face-to-face interview,Specific,Field survey
N-213,Face-to-face interview,Specific,Field survey
N-214,Face-to-face interview,Specific,Field survey
N-215,Face-to-face interview,Specific,Field survey
N-216,Face-to-face interview,Specific,Field survey
N-217,Face-to-face interview,Specific,Field survey
N-218,Face-to-face interview,Specific,Field survey
N-219,Face-to-face interview,Specific,Field survey
N-220,Face-to-face interview,Specific,Field survey
N-221,Face-to-face interview,Specific,Field survey
N-222,Face-to-face interview,Specific,Field survey
N-223,Face-to-face interview,Specific,Field survey
N-224,Face-to-face interview,Specific,Field survey
N-225,Face-to-face interview,Specific,Field survey
N-226,Face-to-face interview,Specific,Field survey
N-227,Face-to-face interview,Specific,Field survey
N-228,Face-to-face interview,Specific,Field survey
N-229,Face-to-face interview,Specific,Field survey
N-230,Face-to-face interview,Specific,Field survey
N-231,Face-to-face interview,Specific,Field survey
N-232,Face-to-face interview,Specific,Field survey
N-233,Face-to-face interview,Specific,Field survey
N-234,Face-to-face interview,Specific,Field survey
N-235,Face-to-face interview,Specific,Field survey
N-236,Face-to-face interview,Specific,Field survey
N-237,Face-to-face interview,Specific,Field survey
N-238,Face-to-face interview,Specific,Field survey
N-239,Face-to-face interview,Specific,Field survey
N-240,Face-to-face interview,Specific,Field survey
N-241,Face-to-face interview,Specific,Field survey
N-242,Face-to-face interview,Specific,Field survey
N-243,Face-to-face interview,Specific,Field survey
N-244,Face-to-face interview,Specific,Field survey
N-245,Face-to-face interview,Specific,Field survey
N-246,Face-to-face interview,Specific,Field survey
N-247,Face-to-face interview,Specific,Field survey
N-248,Face-to-face interview,Specific,Field survey
N-249,Face-to-face interview,Specific,Field survey
N-250,Face-to-face interview,Specific,Field survey
N-251,Face-to-face interview,Specific,Field survey
N-252,Face-to-face interview,Specific,Field survey
N-253,Face-to-face interview,Specific,Field survey
N-254,Face-to-face interview,Specific,Field survey
N-255,Face-to-face interview,Specific,Field survey
N-256,Face-to-face interview,Specific,Field survey
N-257,Face-to-face interview,Specific,Field survey
N-258,Face-to-face interview,Specific,Field survey
N-259,Face-to-face interview,Specific,Field survey
N-260,Face-to-face interview,Specific,Field survey
N-261,Face-to-face interview,Specific,Field survey
N-262,Face-to-face interview,Specific,Field survey
N-263,Face-to-face interview,Specific,Field survey
N-264,Face-to-face interview,Specific,Field survey
N-265,Face-to-face interview,Specific,Field survey
N-266,Face-to-face interview,Specific,Field survey
N-267,Face-to-face interview,Specific,Field survey
N-268,Face-to-face interview,Specific,Field survey
N-269,Face-to-face interview,Specific,Field survey
N-270,Face-to-face interview,Specific,Field survey
N-271,Face-to-face interview,Specific,Field survey
N-272,Face-to-face interview,Specific,Field survey
N-273,Face-to-face interview,Specific,Field survey
N-274,Face-to-face interview,Specific,Field survey
N-275,Face-to-face interview,Specific,Field survey
N-276,Face-to-face interview,Specific,Field survey
N-277,Face-to-face interview,Specific,Field survey
N-278,Face-to-face interview,Specific,Field survey
N-279,Face-to-face interview,Specific,Field survey
N-280,Face-to-face interview,Specific,Field survey
N-281,Face-to-face interview,Specific,Field survey
N-282,Face-to-face interview,Specific,Field survey
N-283,Face-to-face interview,Specific,Field survey
N-284,Face-to-face interview,Specific,Field survey
N-285,Face-to-face interview,Specific,Field survey
N-286,Face-to-face interview,Specific,Field survey
N-287,Face-to-face interview,Specific,Field survey
N-288,Face-to-face interview,Specific,Field survey
N-289,Face-to-face interview,Specific,Field survey
N-290,Face-to-face interview,Specific,Field survey
N-291,Face-to-face interview,Specific,Field survey
N-292,Face-to-face interview,Specific,Field survey
N-293,Face-to-face interview,Specific,Field survey
N-294,Face-to-face interview,Specific,Field survey
N-295,Face-to-face interview,Specific,Field survey
N-296,Face-to-face interview,Specific,Field survey
N-297,Face-to-face interview,Specific,Field survey
N-298,Face-to-face interview,Specific,Field survey
N-299,Face-to-face interview,Specific,Field survey
N-300,Face-to-face interview,Specific,Field survey
N-301,Face-to-face interview,Specific,Field survey
N-302,Face-to-face interview,Specific,Field survey
N-303,Face-to-face interview,Specific,Field survey
N-304,Face-to-face interview,Specific,Field survey
N-305,Face-to-face interview,Specific,Field survey
N-306,Face-to-face interview,Specific,Field survey
N-307,Face-to-face interview,Specific,Field survey
N-308,Face-to-face interview,Specific,Field survey
N-309,Face-to-face interview,Specific,Field survey
N-310,Face-to-face interview,Specific,Field survey
N-311,Face-to-face interview,Specific,Field survey
N-312,Face-to-face interview,Specific,Field survey
N-313,Face-to-face interview,Specific,Field survey
N-314,Face-to-face interview,Specific,Field survey
N-315,Face-to-face interview,Specific,Field survey
N-316,Face-to-face interview,Specific,Field survey
N-317,Face-to-face interview,Specific,Field survey
N-318,Face-to-face interview,Specific,Field survey
N-319,Face-to-face interview,Specific,Field survey
N-320,Face-to-face interview,Specific,Field survey
N-321,Face-to-face interview,Specific,Field survey
N-322,Face-to-face interview,Specific,Field survey
N-323,Face-to-face interview,Specific,Field survey
N-324,Face-to-face interview,Specific,Field survey
N-325,Face-to-face interview,Specific,Field survey
N-326,Face-to-face interview,Specific,Field survey
N-327,Face-to-face interview,Specific,Field survey
N-328,Face-to-face interview,Specific,Field survey
N-329,Face-to-face interview,Specific,Field survey
N-330,"Huaxia Wuhan Project, 2018",General,Construction bill of materials
N-331,"Huaxia Wuhan Project, 2018",General,Construction bill of materials
N-332,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-333,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-334,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-335,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-336,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-337,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-338,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-339,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-340,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-341,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-342,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-343,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-344,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-345,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-346,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-347,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-348,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-349,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-350,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-351,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-352,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-353,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
